No.,Player,Position,Team
20.0,B. Martinez,OH,DOM
21.0,J. Martinez,MB,DOM
22.0,Caraballo,OH,DOM
23.0,Gaila,O,DOM
24.0,Natalia,OH,DOM
25.0,L. Martinez,L,DOM
26.0,Iliana,L,DOM
1.0,Cazaute,OH,FRA
2.0,Chouikh-Barbez,OH,FRA
3.0,Giardino,L,FRA
4.0,Blanc,S,FRA
6.0,Pezelj,OH,FRA
7.0,Ndiaye,O,FRA
9.0,Stojiljkovic,S,FRA
10.0,Fanguedou,MB,FRA
11.0,Gicquel,O,FRA
12.0,Depie,O,FRA
13.0,Diouf,OH,FRA
15.0,Sylves,MB,FRA
18.0,Mathi,S,FRA
21.0,Elouga,MB,FRA
35.0,Danard Selosse,S,FRA
41.0,Andriamaherizo,MB,FRA
49.0,Foucher,O,FRA
53.0,Schalk,OH,FRA
54.0,Ebatombo,O,FRA
57.0,Mayer,MB,FRA
63.0,Respaut,S,FRA
68.0,Jaegy,L,FRA
75.0,Biemel,L,FRA
78.0,Massuel,MB,FRA
83.0,Girgenti,O,FRA
88.0,Rotar,O,FRA
91.0,Bah,OH,FRA
92.0,Ngolongolo,MB,FRA
98.0,Haewegene,OH,FRA
99.0,Gelin,L,FRA
1.0,Agbortabi,OH,GER
2.0,Kästner,S,GER
3.0,Cesar,L,GER
4.0,Pogany,L,GER
5.0,Glaab,S,GER
6.0,Stautz,OH,GER
7.0,Tabacuks,OH,GER
8.0,Kohn,S,GER
9.0,Alsmeier,OH,GER
10.0,Stigrot,OH,GER
11.0,Timmer,OH,GER
12.0,Orthmann,OH,GER
13.0,Weske,O,GER
14.0,Schölzel,MB,GER
15.0,Jatzko,OH,GER
16.0,Cekulaev,MB,GER
17.0,Kirchhoff,O,GER
18.0,Grozer,OH,GER
19.0,Hänle,O,GER
20.0,Kindermann,O,GER
21.0,Weitzel,MB,GER
22.0,Strubbe,MB,GER
23.0,Straube,S,GER
24.0,Nestler,L,GER
25.0,Jebens,O,GER
26.0,Jordan,S,GER
30.0,Kömmling,OH,GER
35.0,Van Clewe,MB,GER
36.0,Ambrosius,MB,GER
37.0,Schaefer,L,GER
1.0,Gray,MB,ITA
2.0,Degradi,OH,ITA
3.0,Cambi,S,ITA
4.0,Piva,OH,ITA
5.0,Squarcini,MB,ITA
6.0,De Gennaro,L,ITA
7.0,Fersino,L,ITA
8.0,Orro,S,ITA
9.0,Boldini,S,ITA
10.0,Sartori,MB,ITA
11.0,Danesi,MB,ITA
12.0,Frosini,O,ITA
14.0,Nwakalor L.,MB,ITA
15.0,Panetoni,L,ITA
16.0,Nervini,OH,ITA
17.0,Sylla,OH,ITA
